study,dataset,method,case,wait,n_initializations,mse_median,nmse_median,difference_error_median,repeat_mse_median,wrong_ratio_median,repeat_vs_difference_median
c1,d02,ode_behavior,ring4,0,3,0.035614330502836154,0.051292279865872335,,0.00018395260701890414,1.0032043683835643,
c1,d02,ode_behavior,ring8,0,3,0.027413688820126122,0.03948159573028809,,0.000193628831499776,1.0003585336720016,
c1,d03,fixed_behavior,long8,0,3,0.11695137685075353,0.16123300973431579,,0.018742460258795248,1.0664622036934355,
c1,d03,fixed_behavior,reset_iso,0,3,0.0648729825637588,0.255562392828801,0.9006074140015567,0.011950380230852353,1.112328284638696,0.0943193400162298
c1,d03,fixed_behavior,reset_iso,256,3,0.06483984132096011,0.2554318353150837,0.8984555559873116,0.011969666496316185,1.1134348849881832,0.0944715584222375
c1,d03,fixed_behavior,reset_null,0,3,0.03793626162577685,0.14944714136635207,,0.011542795930287042,1.0,
c1,d03,fixed_behavior,reset_null,256,3,0.03662103221049808,0.14426589081791122,,0.011312034185253042,1.0,
c1,d03,fixed_behavior,reset_ring4,0,3,0.044047264809031574,0.17352099359847467,0.9095014104369524,0.00857982760127609,1.0865069496531576,0.11868158083939379
c1,d03,fixed_behavior,reset_ring4,256,3,0.042668564271705726,0.16808970318467176,0.9100154233105795,0.008349413261293355,1.0860591212521367,0.11549434452322942
c1,d03,fixed_behavior,ring4,0,3,0.01962602008991707,0.02705707596962838,,0.001688831530060909,1.0339292266942497,
c1,d03,fixed_behavior,ring8,0,3,0.02021019135931909,0.02786243367042912,,0.0014892363510598421,1.023892626409206,
c1,d03,fixed_mse,long8,0,3,0.11846122738898605,0.16331453928175213,,0.0004160843862192779,1.0053783598573396,
c1,d03,fixed_mse,reset_iso,0,3,0.06471241337109046,0.2549298421818105,0.9994548388189721,0.00039110958805551715,1.0014508344638384,0.0030868639747695117
c1,d03,fixed_mse,reset_iso,256,3,0.06459929739613847,0.254484230031984,1.0001751442924722,0.0003508573746470031,1.0007093989488645,0.0027691701332729977
c1,d03,fixed_mse,reset_null,0,3,0.03999880227970814,0.15757237014409947,,0.00018413225778344728,1.0,
c1,d03,fixed_mse,reset_null,256,3,0.03927642424251657,0.15472661444710792,,0.0001376996280078436,1.0,
c1,d03,fixed_mse,reset_ring4,0,3,0.04473747698607484,0.1762400342307038,0.9925806307547763,0.00022594171914471373,1.006590457442011,0.003125368206894588
c1,d03,fixed_mse,reset_ring4,256,3,0.04456970914468896,0.1755791250310665,0.9936071479175644,0.00018323433424493628,1.0057318399673676,0.002534612752476345
c1,d03,fixed_mse,ring4,0,3,0.017632647467830085,0.024308946994702176,,6.0872625408564105e-05,0.9972387614672213,
c1,d03,fixed_mse,ring8,0,3,0.019208758314778633,0.026481825180246846,,5.710677787942539e-05,0.9995099274818787,
c1,d03,free_behavior,long8,0,3,0.12450168178791565,0.1716421081323965,,0.0003074808715388272,1.0006890691592312,
c1,d03,free_behavior,reset_iso,0,3,0.06368343611327382,0.2508762611719411,1.009251608341433,0.00020621235834130357,0.9909496061309157,0.001627547673481414
c1,d03,free_behavior,reset_iso,256,3,0.06468895121481476,0.25483741472492816,1.0000428996439041,5.26968178962881e-08,0.9999580020084013,4.1591388632986077e-07
c1,d03,free_behavior,reset_null,0,3,0.04272427012834177,0.16830915235216598,,0.00024348753024101358,1.0,
c1,d03,free_behavior,reset_null,256,3,0.040696647294140194,0.16032147978364203,,8.756218407003816e-08,1.0,
c1,d03,free_behavior,reset_ring4,0,3,0.043296762459986,0.1705644442220495,0.9968349710734878,0.00019701964849752596,1.0028478634886662,0.002725299904234713
c1,d03,free_behavior,reset_ring4,256,3,0.04266443917004984,0.1680734526469567,0.9999333124231519,1.7203564654088354e-07,1.0000611589778532,2.3797054487624585e-06
c1,d03,free_behavior,ring4,0,3,0.017485412942459342,0.02410596464168018,,0.00017170806013429751,1.0064661902646694,
c1,d03,free_behavior,ring8,0,3,0.01972193073355,0.027189301533404573,,0.00014163346205019905,1.004949039647643,
c1,d03,free_mse,long8,0,3,0.11333148925190646,0.1562425137848166,,3.1954368672321166e-05,0.9985445978177918,
c1,d03,free_mse,reset_iso,0,3,0.06263037532775885,0.24672780485769844,1.0014653450131372,1.5068168597311182e-05,0.9985364036085198,0.00011892673621233408
c1,d03,free_mse,reset_iso,256,3,0.06195803489545612,0.2440791686630243,1.0000534014855915,1.0614313838552422e-08,0.999945410949876,8.377432823373805e-08
c1,d03,free_mse,reset_null,0,3,0.04334486302242929,0.1707539328866463,,1.780520133992796e-05,1.0,
c1,d03,free_mse,reset_null,256,3,0.04042112317034403,0.15923607255282443,,1.0066110111313549e-08,1.0,
c1,d03,free_mse,reset_ring4,0,3,0.04080433531184036,0.16074570889096568,0.9999949466794923,1.3216165440353762e-05,1.0000178472936694,0.00018281432681268092
c1,d03,free_mse,reset_ring4,256,3,0.04000860819951168,0.15761099985141125,0.9999887240858074,2.4050296189405218e-08,1.0000102724725082,3.326788490470055e-07
c1,d03,free_mse,ring4,0,3,0.018153366248761633,0.025026827010616128,,2.4329596113622007e-05,0.9976378048616482,
c1,d03,free_mse,ring8,0,3,0.019514229246321332,0.02690295744055214,,2.4128016516153184e-05,1.0012181365539894,
